Date	x	Generation	Treatment	Temp	pH	Rep	Beak	time	nx	lx	Ndev	Cdev	F.Ratio	M.Ratio
080718	SurvDataF	0	1	18	8.2	1	1	0	19	1	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	2	19	1	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	4	19	1	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	6	19	1	2	0		
080718	SurvDataF	0	1	18	8.2	1	1	8	19	1	10	0		
080718	SurvDataF	0	1	18	8.2	1	1	10	19	1	6	0		
080718	SurvDataF	0	1	18	8.2	1	1	12	17	0.894736842	1	0		
080718	SurvDataF	0	1	18	8.2	1	1	14	17	0.894736842	-17	17		
080718	SurvDataF	0	1	18	8.2	1	1	16	0	0	0	-17	0.941176471	0.058823529
080718	SurvDataF	0	1	18	8.2	1	1	18	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	20	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	22	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	24	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	26	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	28	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	1	30	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	2	0	25	1	0	0		
080718	SurvDataF	0	1	18	8.2	1	2	2	25	1	0	0		
080718	SurvDataF	0	1	18	8.2	1	2	4	25	1	0	0		
080718	SurvDataF	0	1	18	8.2	1	2	6	22	0.88	0	0		
080718	SurvDataF	0	1	18	8.2	1	2	8	21	0.84	8	0		
080718	SurvDataF	0	1	18	8.2	1	2	10	21	0.84	11	0		
080718	SurvDataF	0	1	18	8.2	1	2	12	20	0.8	2	0		
080718	SurvDataF	0	1	18	8.2	1	2	14	10	0.4	-20	10		
080718	SurvDataF	0	1	18	8.2	1	2	16	0	0	0	-10	0.9	0.1
080718	SurvDataF	0	1	18	8.2	1	2	18	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	2	20	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	2	22	0	0	0	0		
080718	SurvDataF	0	1	18	8.2	1	2	24	0	0	0	0		
